tstamp,country,observation,obs_ord,count
2020-03-15,Slovenia,death_rate,Death Rate,NA
2020-03-15,Israel,total_cases,Total Cases,178
2020-03-15,Israel,new_cases,New Cases,35
2020-03-15,Israel,total_deaths,Total Deaths,0
2020-03-15,Israel,new_deaths,NA,NA
2020-03-15,Israel,total_recovered,Total Recovered,4
2020-03-15,Israel,active_cases,Active Cases,174
2020-03-15,Israel,serious_critical,Serious Critical,3
2020-03-15,Israel,tot_cases_1m_pop,Total Cases per 1m Population,20.6
2020-03-15,Israel,death_rate,Death Rate,0
2020-03-15,Portugal,total_cases,Total Cases,169
2020-03-15,Portugal,new_cases,New Cases,57
2020-03-15,Portugal,total_deaths,Total Deaths,0
2020-03-15,Portugal,new_deaths,NA,NA
2020-03-15,Portugal,total_recovered,Total Recovered,2
2020-03-15,Portugal,active_cases,Active Cases,167
2020-03-15,Portugal,serious_critical,Serious Critical,10
2020-03-15,Portugal,tot_cases_1m_pop,Total Cases per 1m Population,16.6
2020-03-15,Portugal,death_rate,Death Rate,0
2020-03-15,Iceland,total_cases,Total Cases,156
2020-03-15,Iceland,new_cases,New Cases,22
2020-03-15,Iceland,total_deaths,Total Deaths,NA
2020-03-15,Iceland,new_deaths,NA,NA
2020-03-15,Iceland,total_recovered,Total Recovered,NA
2020-03-15,Iceland,active_cases,Active Cases,156
2020-03-15,Iceland,serious_critical,Serious Critical,NA
2020-03-15,Iceland,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-03-15,Iceland,death_rate,Death Rate,NA
2020-03-15,Brazil,total_cases,Total Cases,151
2020-03-15,Brazil,new_cases,New Cases,NA
2020-03-15,Brazil,total_deaths,Total Deaths,0
2020-03-15,Brazil,new_deaths,NA,NA
2020-03-15,Brazil,total_recovered,Total Recovered,1
2020-03-15,Brazil,active_cases,Active Cases,150
2020-03-15,Brazil,serious_critical,Serious Critical,2
2020-03-15,Brazil,tot_cases_1m_pop,Total Cases per 1m Population,0.7
2020-03-15,Brazil,death_rate,Death Rate,0
2020-03-15,Hong Kong,total_cases,Total Cases,142
2020-03-15,Hong Kong,new_cases,New Cases,10
2020-03-15,Hong Kong,total_deaths,Total Deaths,4
2020-03-15,Hong Kong,new_deaths,NA,NA
2020-03-15,Hong Kong,total_recovered,Total Recovered,81
2020-03-15,Hong Kong,active_cases,Active Cases,57
2020-03-15,Hong Kong,serious_critical,Serious Critical,4
2020-03-15,Hong Kong,tot_cases_1m_pop,Total Cases per 1m Population,18.9
2020-03-15,Hong Kong,death_rate,Death Rate,2.82
2020-03-15,Ireland,total_cases,Total Cases,129
2020-03-15,Ireland,new_cases,New Cases,39
2020-03-15,Ireland,total_deaths,Total Deaths,NA
2020-03-15,Ireland,new_deaths,NA,1
2020-03-15,Ireland,total_recovered,Total Recovered,NA
2020-03-15,Ireland,active_cases,Active Cases,127
2020-03-15,Ireland,serious_critical,Serious Critical,6
2020-03-15,Ireland,tot_cases_1m_pop,Total Cases per 1m Population,26.1
2020-03-15,Ireland,death_rate,Death Rate,NA
2020-03-15,Romania,total_cases,Total Cases,116
2020-03-15,Romania,new_cases,New Cases,21
2020-03-15,Romania,total_deaths,Total Deaths,0
2020-03-15,Romania,new_deaths,NA,NA
2020-03-15,Romania,total_recovered,Total Recovered,9
2020-03-15,Romania,active_cases,Active Cases,107
2020-03-15,Romania,serious_critical,Serious Critical,1
2020-03-15,Romania,tot_cases_1m_pop,Total Cases per 1m Population,6
2020-03-15,Romania,death_rate,Death Rate,0
2020-03-15,Estonia,total_cases,Total Cases,115
2020-03-15,Estonia,new_cases,New Cases,36
2020-03-15,Estonia,total_deaths,Total Deaths,NA
2020-03-15,Estonia,new_deaths,NA,NA
2020-03-15,Estonia,total_recovered,Total Recovered,NA
2020-03-15,Estonia,active_cases,Active Cases,115
2020-03-15,Estonia,serious_critical,Serious Critical,NA
2020-03-15,Estonia,tot_cases_1m_pop,Total Cases per 1m Population,86.7
2020-03-15,Estonia,death_rate,Death Rate,NA
2020-03-15,Philippines,total_cases,Total Cases,111
2020-03-15,Philippines,new_cases,New Cases,47
2020-03-15,Philippines,total_deaths,Total Deaths,8
2020-03-15,Philippines,new_deaths,NA,3
2020-03-15,Philippines,total_recovered,Total Recovered,2
2020-03-15,Philippines,active_cases,Active Cases,101
2020-03-15,Philippines,serious_critical,Serious Critical,1
2020-03-15,Philippines,tot_cases_1m_pop,Total Cases per 1m Population,1
2020-03-15,Philippines,death_rate,Death Rate,7.21
2020-03-15,Iraq,total_cases,Total Cases,110
2020-03-15,Iraq,new_cases,New Cases,9
2020-03-15,Iraq,total_deaths,Total Deaths,10
2020-03-15,Iraq,new_deaths,NA,1
2020-03-15,Iraq,total_recovered,Total Recovered,26
2020-03-15,Iraq,active_cases,Active Cases,74
2020-03-15,Iraq,serious_critical,Serious Critical,NA
2020-03-15,Iraq,tot_cases_1m_pop,Total Cases per 1m Population,2.7
2020-03-15,Iraq,death_rate,Death Rate,9.09
2020-03-15,Egypt,total_cases,Total Cases,109
2020-03-15,Egypt,new_cases,New Cases,16
2020-03-15,Egypt,total_deaths,Total Deaths,2
2020-03-15,Egypt,new_deaths,NA,NA
2020-03-15,Egypt,total_recovered,Total Recovered,27
2020-03-15,Egypt,active_cases,Active Cases,80
2020-03-15,Egypt,serious_critical,Serious Critical,NA
2020-03-15,Egypt,tot_cases_1m_pop,Total Cases per 1m Population,1.1
2020-03-15,Egypt,death_rate,Death Rate,1.83
2020-03-15,Kuwait,total_cases,Total Cases,104
2020-03-15,Kuwait,new_cases,New Cases,4
2020-03-15,Kuwait,total_deaths,Total Deaths,0
2020-03-15,Kuwait,new_deaths,NA,NA
2020-03-15,Kuwait,total_recovered,Total Recovered,5
2020-03-15,Kuwait,active_cases,Active Cases,99
2020-03-15,Kuwait,serious_critical,Serious Critical,4
2020-03-15,Kuwait,tot_cases_1m_pop,Total Cases per 1m Population,24.4
2020-03-15,Kuwait,death_rate,Death Rate,0
2020-03-15,Saudi Arabia,total_cases,Total Cases,103
2020-03-15,Saudi Arabia,new_cases,New Cases,17
2020-03-15,Saudi Arabia,total_deaths,Total Deaths,0
2020-03-15,Saudi Arabia,new_deaths,NA,NA
2020-03-15,Saudi Arabia,total_recovered,Total Recovered,1
2020-03-15,Saudi Arabia,active_cases,Active Cases,102
2020-03-15,Saudi Arabia,serious_critical,Serious Critical,NA
2020-03-15,Saudi Arabia,tot_cases_1m_pop,Total Cases per 1m Population,3
2020-03-15,Saudi Arabia,death_rate,Death Rate,0
2020-03-15,San Marino,total_cases,Total Cases,101
2020-03-15,San Marino,new_cases,New Cases,21
2020-03-15,San Marino,total_deaths,Total Deaths,5
2020-03-15,San Marino,new_deaths,NA,NA
2020-03-15,San Marino,total_recovered,Total Recovered,4
2020-03-15,San Marino,active_cases,Active Cases,92
2020-03-15,San Marino,serious_critical,Serious Critical,3
2020-03-15,San Marino,tot_cases_1m_pop,Total Cases per 1m Population,NA
2020-03-15,San Marino,death_rate,Death Rate,4.95
2020-03-15,India,total_cases,Total Cases,97
2020-03-15,India,new_cases,New Cases,15
2020-03-15,India,total_deaths,Total Deaths,2
2020-03-15,India,new_deaths,NA,NA
2020-03-15,India,total_recovered,Total Recovered,10
2020-03-15,India,active_cases,Active Cases,85
2020-03-15,India,serious_critical,Serious Critical,NA
2020-03-15,India,tot_cases_1m_pop,Total Cases per 1m Population,0.1
2020-03-15,India,death_rate,Death Rate,2.06
2020-03-15,Indonesia,total_cases,Total Cases,96
2020-03-15,Indonesia,new_cases,New Cases,27
2020-03-15,Indonesia,total_deaths,Total Deaths,5
2020-03-15,Indonesia,new_deaths,NA,1
2020-03-15,Indonesia,total_recovered,Total Recovered,8
2020-03-15,Indonesia,active_cases,Active Cases,83
2020-03-15,Indonesia,serious_critical,Serious Critical,NA
2020-03-15,Indonesia,tot_cases_1m_pop,Total Cases per 1m Population,0.4
2020-03-15,Indonesia,death_rate,Death Rate,5.21
2020-03-15,Lebanon,total_cases,Total Cases,93
2020-03-15,Lebanon,new_cases,New Cases,16
2020-03-15,Lebanon,total_deaths,Total Deaths,3
2020-03-15,Lebanon,new_deaths,NA,NA
2020-03-15,Lebanon,total_recovered,Total Recovered,1
2020-03-15,Lebanon,active_cases,Active Cases,89
2020-03-15,Lebanon,serious_critical,Serious Critical,3
2020-03-15,Lebanon,tot_cases_1m_pop,Total Cases per 1m Population,13.6
2020-03-15,Lebanon,death_rate,Death Rate,3.23
2020-03-15,Poland,total_cases,Total Cases,93
2020-03-15,Poland,new_cases,New Cases,25
2020-03-15,Poland,total_deaths,Total Deaths,NA
2020-03-15,Poland,new_deaths,NA,NA
2020-03-15,Poland,total_recovered,Total Recovered,NA
2020-03-15,Poland,active_cases,Active Cases,91
2020-03-15,Poland,serious_critical,Serious Critical,3
2020-03-15,Poland,tot_cases_1m_pop,Total Cases per 1m Population,2.5
2020-03-15,Poland,death_rate,Death Rate,NA
2020-03-15,UAE,total_cases,Total Cases,85
2020-03-15,UAE,new_cases,New Cases,NA
2020-03-15,UAE,total_deaths,Total Deaths,0
2020-03-15,UAE,new_deaths,NA,NA
2020-03-15,UAE,total_recovered,Total Recovered,20
2020-03-15,UAE,active_cases,Active Cases,65
2020-03-15,UAE,serious_critical,Serious Critical,2
